conf_id,base_model,relevant,distance_type,dropout_p,out_dim,learning_rate,loss_margin,epochs,supervised,data,normalization,filter,test_session,frequency_shift,augmentation_scale,models_trained,to_train,mean_val_loss,mean_train_loss,std_val_loss,std_train_loss,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc,mean_triplet_val_acc,std_triplet_val_acc,mean_triplet_test_acc,std_triplet_test_acc,mean_val_pool_acc,std_val_pool_acc,mean_test_pool_acc,std_test_pool_acc,mean_val_mae,std_val_mae,mean_test_mae,std_test_mae
123,0,True,euclidean,0.5,64,0.001,250,50,supervised,labeled,min_max,45,3,False,0,2,0,161.0006790161135,120.5599517822265,4.811651464698514,6.319810015228176,0.5537383177570093,0.02973813565737821,0.2844101123595506,0.02284193253832948,0.713554645781417,0.007614802467388,0.54848679616581,0.027667297800664,0.8084112149532711,0.02643389836211393,0.5751404494382022,0.020855677534996477,0.5093457943925234,0.013216949181056965,1.1334269662921348,0.007945020013332015
124,0,False,euclidean,0.5,64,0.001,250,5,supervised,labeled,min_max,45,1,False,0,2,0,219.1782531738285,187.7383651733395,6.136279034575964,1.9390301661281644,0.40186915887850466,0.05947627131475634,0.32724719101123595,0.009931275016664978,0.591653319095924,0.014345999831868,0.556588427601092,0.018241002869592,0.6892523364485981,0.0033042372952642018,0.6615168539325842,0.01787629502999699,0.8247663551401869,0.06278050861002055,0.9922752808988764,0.0685257976149884
125,0,False,euclidean,0.5,64,0.001,250,5,supervised,labeled,min_max,45,2,False,0,2,0,207.81330871582,175.578338623047,3.4578272555711007,6.807995950004865,0.4205607476635514,0.05286779672422786,0.2935393258426966,0.007945020013331975,0.613009432283324,0.005914578878051,0.524884149050974,0.012085856715195,0.7406542056074766,0.016521186476321247,0.6144662921348314,0.0009931275016665214,0.764018691588785,0.05617203401949206,1.0941011235955056,0.041711355069992954
126,0,False,euclidean,0.5,64,0.001,250,5,supervised,labeled,min_max,45,3,False,0,2,0,203.41223907470697,172.27272796630848,0.2477830082692654,3.9678405374298107,0.43457943925233644,0.0066084745905284825,0.2422752808988764,0.006951892511665492,0.622330010679957,0.001321577287729,0.509609280771917,0.012018526037117,0.764018691588785,0.016521186476321167,0.5105337078651686,0.006951892511665492,0.7383177570093458,0.019825423771585447,1.2549157303370788,0.06256703260498951
127,0,False,euclidean,0.5,64,0.001,250,5,supervised,labeled,min_max,45,4,False,0,2,0,205.8726119995115,169.008522033691,6.384989947862488,0.8636961475707903,0.4462616822429907,0.08921440697213451,0.26264044943820225,0.013903785023330985,0.617613029547882,0.01202006009315,0.50136481939948,0.003052324072918,0.7710280373831776,0.03965084754317089,0.5294943820224719,0.011917530019997942,0.7242990654205608,0.09251864426739875,1.2268258426966292,0.004965637508332528
128,0,True,euclidean,0.5,64,0.1,250,10,self-supervised,unlabeled,min_max,55,-1,2,1,2,0,25.93521213531495,31.548768997192347,3.5573787861033535,2.9040540810149635,0.0,0.0,0.2475421348314607,0.013903785023331006,0.956671143577816,0.00263701571288,0.814080056179776,0.003227664380416,,,0.4968398876404494,0.012414093770831164,,,1.2450842696629212,0.012414093770831322
129,0,True,euclidean,0.5,64,0.05,250,10,self-supervised,unlabeled,min_max,55,-1,2,2,2,0,79.9072494506836,100.61505508422846,3.06870057613539,9.855942743583933,0.0,0.0,0.2519311797752809,0.0057104831345824005,0.863780878857696,0.005493568259947,0.676088483146067,0.011669248144581,,,0.5114115168539326,0.0037242281312493963,,,1.2152387640449438,0.008938147514998614
130,0,True,euclidean,0.5,64,0.01,250,10,self-supervised,unlabeled,min_max,55,-1,2,3,2,0,114.827331542969,128.97859954834,9.583316696927925,3.4214339576439947,0.0,0.0,0.24912219101123592,0.007696738137915364,0.808160171505734,0.024605369236624,0.599016853932585,0.033269771305828,,,0.5087780898876404,0.007448456262498714,,,1.2324438202247192,0.00645532876083235
131,0,True,euclidean,0.5,64,0.001,250,15,supervised,labeled,min_max,55,1,False,0,2,0,127.1544914245605,162.3390312194826,25.990430703130333,97.51788102844777,0.780373831775701,0.03304237295264241,0.25280898876404495,0.003972510006666007,0.785726997686421,0.047694157335771,0.545745254872088,0.032666600648036,0.8411214953271029,0.046259322133699377,0.502808988764045,0.003972510006666007,0.4205607476635514,0.07930169508634179,0.9957865168539326,0.005958765009998971
132,0,True,euclidean,0.5,64,0.001,250,15,supervised,labeled,min_max,55,2,False,0,2,0,118.4292373657225,115.07285690307624,14.00050063354821,29.078541757466496,0.7733644859813085,0.029738135657378133,0.25,0.0,0.802366969211604,0.028440315456159,0.571930743350473,0.020973506221635,0.8714953271028038,0.03634661024790661,0.4943820224719101,0.007945020013332015,0.2850467289719626,0.05286779672422784,1.50561797752809,0.007945020013332015
133,0,True,euclidean,0.5,64,0.001,250,15,supervised,labeled,min_max,55,3,False,0,2,0,121.303173065186,104.81423950195315,5.047193679461344,8.24058418962976,0.780373831775701,0.0066084745905284825,0.18820224719101125,0.08540896514331893,0.798949804200783,0.006167360676067,0.65731527328128,0.01985693914349,0.8761682242990654,0.0033042372952642018,0.5337078651685393,0.005958765009998971,0.34345794392523366,0.016521186476321205,1.3967696629213484,0.09633336766165045
