model_id,conf_id,model_name,date_time,train_loss,val_loss,epochs,val_idx,val_acc,triplet_val_acc,test_acc,triplet_test_acc,test_pool_acc,val_pool_acc,test_mae,val_mae,test_pool_mae,val_pool_mae
217,125,conf_id_125_model_1,02-11-2023_18:29:04,170.764358520508,205.368255615234,5,0,0.457943925233645,0.617191671115857,0.287921348314607,0.516338157811211,0.615168539325843,0.752336448598131,1.12359550561798,0.724299065420561,0.384831460674157,0.247663551401869
218,125,conf_id_125_model_2,02-11-2023_18:43:12,180.392318725586,210.258361816406,5,1,0.383177570093458,0.608827193450792,0.299157303370786,0.533430140290738,0.61376404494382,0.728971962616822,1.06460674157303,0.803738317757009,0.38623595505618,0.271028037383178
219,126,conf_id_126_model_1,02-11-2023_18:57:30,169.467041015625,203.237030029297,5,0,0.439252336448598,0.621395514417942,0.247191011235955,0.518107662032629,0.515449438202247,0.775700934579439,1.21067415730337,0.752336448598131,0.484550561797753,0.224299065420561
220,126,conf_id_126_model_2,02-11-2023_19:12:14,175.078414916992,203.587448120117,5,1,0.429906542056075,0.623264506941972,0.237359550561798,0.501110899511204,0.50561797752809,0.752336448598131,1.29915730337079,0.724299065420561,0.49438202247191,0.247663551401869
221,127,conf_id_127_model_1,02-11-2023_19:27:05,169.619247436523,201.35774230957,5,0,0.509345794392523,0.626112495550018,0.27247191011236,0.503523138449819,0.537921348314607,0.799065420560748,1.23033707865169,0.658878504672897,0.462078651685393,0.200934579439252
222,127,conf_id_127_model_2,02-11-2023_19:41:28,168.397796630859,210.387481689453,5,1,0.383177570093458,0.609113563545746,0.252808988764045,0.49920650034914,0.521067415730337,0.742990654205607,1.22331460674157,0.789719626168224,0.478932584269663,0.257009345794392
223,128,conf_id_128_model_1_ssl,14-11-2023_20:32:09,33.6022453308105,28.4506587982178,10,1,0,0.954806491885143,0.237710674157303,0.811797752808989,0.488061797752809,,1.25386235955056,,0.511938202247191,
224,128,conf_id_128_model_3_ssl,14-11-2023_21:08:49,29.4952926635742,23.4197654724121,10,3,0,0.958535795270489,0.257373595505618,0.816362359550562,0.50561797752809,,1.23630617977528,,0.49438202247191,
225,129,conf_id_129_model_1_ssl,14-11-2023_21:47:07,107.584259033203,77.7373504638672,10,1,0,0.867665418227216,0.247893258426966,0.684339887640449,0.508778089887641,,1.22155898876405,,0.491221910112359,
226,129,conf_id_129_model_3_ssl,14-11-2023_22:24:50,93.6458511352539,82.0771484375,10,3,0,0.859896339488176,0.255969101123596,0.667837078651685,0.514044943820225,,1.20891853932584,,0.485955056179775,
227,130,conf_id_130_model_1_ssl,14-11-2023_23:02:47,131.397918701172,121.603759765625,10,1,0,0.790761548064919,0.254564606741573,0.575491573033708,0.503511235955056,,1.23700842696629,,0.496488764044944,
228,130,conf_id_130_model_3_ssl,14-11-2023_23:39:30,126.559280395508,108.050903320313,10,3,0,0.82555879494655,0.243679775280899,0.622542134831461,0.514044943820225,,1.22787921348315,,0.485955056179775,
